name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"Dumbo","Family","Walt Disney Pictures","USA",112,0,2018,42,6.3
"Office Uprising","Comedy","Mind the Gap Productions","USA",91,16,2018,13,5.8
"Budapest","Comedy","Canal+","France",102,16,2018,13,5.4
"Hot Summer Nights","Drama","Imperative Entertainment","USA",107,16,2018,6,6.4
"Sonic the Hedgehog","Animation","Paramount Pictures","Japan",99,0,2018,34,6.5
"Patrick","Comedy","BondIt Media Capital","United Kingdom",94,0,2018,27,5.9
"Beast of Burden","Thriller","Paul Schiff Productions","USA",89,16,2018,27,3.6
"Don't Worry","Comedy","Big Indie Pictures","USA",113,12,2018,13,6.9
"John Wick 3 Chapter 3 - Parabellum","Thriller","Lion's Gate Films","USA",131,16,2018,55,7.4
"Mandy","Action","XYZ Films","USA",121,18,2018,13,6.6
"Mile 22","Action","STX Entertainment","USA",95,16,2018,20,6.2
"Es war einmal in Deutschland...","Comedy","Warner Brothers Pictures","Germany",101,12,2018,20,6.5
"Dieses bescheuerte Herz","Melodrama","The Post Republic","Germany",104,12,2018,13,7.0
"Monkey King Reloaded","Animation","China Film (Shanghai) International Media Co.","USA",78,0,2018,13,6.9
"The catcher was a spy","Biographical","IFC Films","USA",98,16,2018,27,6.2
"A-X-L","Fantasy","Lakeshore Entertainment","USA",99,12,2018,20,5.3
"Kona fer í stríð","Drama","Solar Media Entertainment","France",100,12,2018,27,7.4
"Destination wedding","Comedy","Thefyzz","USA",86,16,2018,27,6.0
"Curse of the Witch's Doll","Horrors","Up A Notch Company","United Kingdom",95,18,2018,6,3.3
"Peppermint","Thriller","Lakeshore Entertainment","USA",102,16,2018,27,6.5
"The Favourite","Biographical","Film4","USA",119,16,2018,5,7.5
"Kin","Fantasy","Lion's Gate Films","USA",102,12,2018,13,5.8
"Papillon","Crime","Red Hour Films","USA",133,16,2018,34,7.2
"When the Trees Fall","Drama","Universal Pictures","Ukraine",88,16,2018,13,6.8
"A Simple Favor","Thriller","Universal Pictures","USA",118,16,2018,41,6.8
"Shazam!","Fantasy","New Line Cinema","USA",132,16,2019,42,7.0
"Mirai no Mirai","Animation","Paramount Pictures","Japan",100,0,2018,13,7.0
"Lichozrouti","Cartoon","Silver Screen","Czech",83,0,2018,13,5.8
"The Happytime Murders","Comedy","STX Entertainment","USA",95,16,2018,13,5.4
"Bad Times at the El Royale","Thriller","20th Century Fox","USA",142,16,2018,27,7.1
"Overlord","Horrors","Paramount Pictures","USA",110,18,2018,20,6.6
"Goosebumps 2 Haunted Halloween","Adventure","Columbia Pictures","USA",100,12,2018,20,5.6
"First man","Biographical","Universal Pictures","USA",135,0,2018,27,7.3
"Wonder Park","Adventure","Brown Films AIE","Spain",85,0,2018,43,5.9
"Penguin highway","Animation","Paramount Pictures","Japan",118,0,2018,37,7.1
"Gaston Lagaffe","Comedy","Les Films Pelléas","France",100,0,2018,6,4.4
"Mara","Thriller","120dB Films","USA",98,16,2018,13,7.0
"Heilstätten","Horrors","Warner Brothers Pictures","Germany",89,16,2018,13,4.1
"Cats & Peachtopia/MAO YU TAO HUA YUAN","Cartoon","Lion's Gate Films","China",85,0,2018,20,4.8
"I Still See You","Thriller","Motion Picture Capital","USA",108,16,2018,20,5.8
"The Professor and the Madman","Biographical","Mirror Productions","Ireland",124,16,2019,13,7.3
"Luis & the Aliens","Cartoon","Warner Brothers Pictures","Germany",85,0,2018,34,6.0
"The Girl in the Spider's Web","Crime","Columbia Pictures","United Kingdom",115,16,2018,27,6.1
"Hunter Killer","Action","Millennium Films","USA",100,16,2018,6,6.6
"Life itself","Romance","Sony Pictures Entertainment","USA",117,16,2018,20,6.9
"Todos lo saben","Thriller","Brown Films AIE","Spain",133,16,2018,13,6.9
"Everybody's Talking About Jamie","Musical","Regency Enterprises","United Kingdom",154,18,2018,6,7.8
"Salvador Dali In Search of Immortality","Art","Arcadia","Andorra",105,16,2018,13,7.5
"Nureyev","Mysticism","BBC Films","United Kingdom",110,18,2018,27,7.1
"Wildlife","Drama","FilmNation Entertainment","USA",104,16,2018,13,6.8
"Belleville Cop","Comedy","Tessalit Productions","France",111,12,2018,20,4.9
"Gräns","Thriller","Roy Andersson Filmproduktion AB","Sweden",110,16,2018,6,7.0
"Widows","Thriller","Film4","USA",130,16,2018,27,6.9
